family;glottocode;latitude;longitude
Abkhaz-Adyge             ;abkh1242;43.06;41.16
Afro-Asiatic;afro1255;8.67;8.08
Ainu;ainu1252;43.63;142.46
Anim;anim1240;-7.37;141.45
Araucanian;arau1255;-39.40;-72.025
Arawakan;araw1281;1.00;-69.17
Athabaskan-Eyak-Tlingit;atha1245;53.75;-123.5
Atlantic-Congo;atla1278;8.75;8.25
Austroasiatic;aust1305;14.83;100.5
Austronesian;aust1307;23.76;120.98
Aymaran;ayma1253;-17;-68.5
Barbacoan;barb1265;0.72;-78.13
Basque;basq1248;43.2787;-1.31622
Bilua;bilu1245;-7.92;156.66
Bunaban;buna1274;-18.12;125.99
Burushaski;buru1296;36.2161;74.82
Cariban;cari1283;-0.50;-60.5
Cayubaba;cayu1262;-13.2482;-65.4822
Chicham;jiva1245;-3.45;-78.19
Chibchan;chib1249;9.75;-83.42
Chocoan;choc1280;6.83;-77.17
Chonan;chon1288;-49.8675;-70.19
Chukotko-Kamchatkan;chuk1271;61;165
Cofan;cofa1242;0.276675;-77.0643
Dravidian;drav1251;21.53;79.92
East Bird's Head;east1459;-1.5;134
Elamite;elam1244;31.1833;48.2333
Eskimo-Aleut;eski1264;63.69;-170.48
Garrwan;garr1260;-18.05;137.665
Giimbiyu;giim1238;-12.6667;132.9533
Guaicuruan;guai1249;-25.12;-60.22
Gunwinyguan;gunw1250;-13.5;134.1
Haida;haid1248;53.63;-132.045
Hadza;hadz1240;-3.83;35.05
Hmong-Mien;hmon1336;27;107
Hoti;yuwa1244;5.63879;-65.4267
Indo-European;indo1319;34;71.55
Itonama;iton1250;-12.80431;-64.35748
Iwaidjan Proper;iwai1246;-11.6;132.7225
Japonic;japo1237;37;140
Karok;karo1304;41.8228;-123.315
Kartvelian;kart1248;3;42.5
Kawesqar;kawe1237;-52.51;-71.9633
Koreanic;kore1284;37.5;128
Kunza;kunz1244;-23;-69
Laragia;lara1258;-12.592844;130.884252
Lengua-Mascoy;leng1261;-22.7857;-58.3942
Mangarrayi-Maran;mang1423;-14.86;134.59
Maningrida;mani1293;-12.2675;134.225
Matacoan;mata1289;-22.50;-62.5
Mayan;maya1287;15.42;-91.83
Mirndi;mirn1241;-16.34;133.06
Mongolic-Khitan;mong1349;48.78;108.67
Mor;morb1239;-2.85747;132.845
Mosetén-Chimané;mose1249;-14.64448;-67.83756
Movima;movi1243;-13.8115;-65.6348
Naduhup;nada1235;-0.13;-68.3125
Nakh-Daghestanian;nakh1245;42.50;46.5
Nilotic;nilo1247;4.75;29.75
Nubian;nubi1251;18.76;31.75
Nuclear Trans New Guinea;nucl1709;-5.43;143.09
Nuclear-Macro-Je;nucl1710;-11;-50
Nyulnyulan;nyul1248;-17.37;123.1
Otomanguean;otom1299;17.67;-97.42
Paez;paez1247;2.61516;-76.31254
Pama-Nyungan;pama1250;-12.17;142.49
Pano-Tacanan;pano1259;-7.5;-75
Peba-Yagua;peba1241;-3.7;-72.63
Puelche;puel1244;-42.223;-68.666
Puinave;puin1248;3.92974;-67.6886
Pumé;pume1238;7.10677;-67.5996
Quechuan;quec1387;0.33;-78
Saharan;saha1256;16;18
Salishan;sali1255;48.75;-123.25
Savosavo;savo1255;-9.12853;159.814
Senagi;sena1264;-3.62;141.075
Seri;seri1257;28.9877;-112.384
Sino-Tibetan;sino1245;26.1;94.75
South Bird's Head;sout1516;-2.0367;132.6767
Tai-Kadai;taik1256;24;108
Tangkic;tang1340;-16.9775;139.0775
Ticuna-Yuri;ticu1244;-3.66;-69.87
Timor-Alor-Pantar;timo1261;-8.31;124.59
Tiwi;tiwi1244;-11.558449;130.812402
Touo;touo1238;-8.58405;157.296
Trumai;trum1247;-11.8119;-53.5717
Tsimshian;tsim1258;54.293;-128.6
Tucanoan;tuca1253;0.5;-72.5
Tungusic;tung1282;44;131
Tupian;tupi1275;-8;-62
Turkic;turk1311;56;125
Uralic;ural1272;68;30
Uru-Chipaya;uruc1242;-17.735;-68.435
Uto-Aztecan;utoa1244;27.5;-110.25
Wadjiginy;wadj1254;-13.204044;130.243534
Wageman;wage1238;-13.930709;131.13272
Wakashan;waka1280;48.67;-124.75
Waorani;waor1240;-1.12312;-76.683
West Bomberai;west2604;-2.92;132.25
Worrorran;worr1236;-15.92;125.93
Yamana;yama1264;-55.2748;-68.2648
Yanomamic;yano1268;1.68;-64.88
Yeniseian;yeni1252;57;93
Yukaghir;yuka1259;66.985;169.6875
Zamucoan;zamu1243;-19.5733;-59.29
Zuni;zuni1245;35.0056;-108.782
