glottocode	longitude	longitude_180	latitude	elevation
here1252	20.57	20.57	-21.02	1163
sgaw1245	97.71	97.71	17.99	554
nucl1310	93.97	93.97	20.79	792
cent1989	105.02	105.02	12.05	15
monn1252	98.12	98.12	15.49	192
viet1252	105.77	105.77	20.68	20
mlab1235	101.16	101.16	18.55	775
laoo1244	102.46	102.46	19	379
thai1261	100.67	100.67	14.19	6
shan1277	98.03	98.03	21.6	934
soca1235	12.53	12.53	3.68	684
halh1238	106.29	106.29	48.32	1406
solo1263	119.49	119.49	48.17	812
blackhmong	103.92	103.92	22.3	1090
ngal1292	133.94	133.94	-13.98	208
alya1239	136.84	136.84	-21.04	256
remb1249	134.31	134.31	-12.96	154
gami1243	149.54	149.54	-29.9	187
kayt1238	133.6	133.6	-21.58	485
pint1250	130.64	130.64	-23.3	576
guda1242	134.73	134.73	-17.42	244
wikm1247	141.82	141.82	-13.98	27
yuul1239	135.9	135.9	-12.7	53
adny1235	138.65196	138.65196	-30.609369	525
alaw1244	134.459692	134.459692	-15.460038	148
badi1246	117.551698	117.551698	-28.464884	376
bard1255	122.933671	122.933671	-16.64414	9
bayu1240	113.88269	113.88269	-23.854626	15
bili1250	130.751296	130.751296	-16.834598	186
buna1275	125.708644	125.708644	-17.701102	228
bura1267	134.579826	134.579826	-12.20424	39
burd1238	115.053485	115.053485	-23.462142	196
darl1243	142.510907	142.510907	-32.801982	69
dhal1245	114.576484	114.576484	-22.645518	45
dhan1270	135.75	135.75	-11.95	14
dhar1247	115.59019	115.59019	-24.103312	290
djau1244	132.860985	132.860985	-13.919553	241
djin1253	134.814753	134.814753	-12.220231	44
djiw1241	116.247889	116.247889	-23.435413	382
dyaa1242	145.503712	145.503712	-16.760801	214
erre1238	132.949648	132.949648	-12.357651	74
gami1243	150.080156	150.080156	-30.864312	298
gupa1247	135.800677	135.800677	-12.489152	63
gura1252	134.294174	134.294174	-12.22458	35
gurd1238	142.003562	142.003562	-16.966976	46
guri1247	130.550451	130.550451	-17.569568	286
iwai1244	132.765931	132.765931	-11.587917	12
kara1476	122.305377	122.305377	-18.982888	118
kuka1246	127.194938	127.194938	-20.417286	322
kuku1273	145.04087	145.04087	-16.123311	525
lara1258	130.884252	130.884252	-12.592844	14
lard1243	139.404103	139.404103	-16.555193	4
mang1382	132.925804	132.925804	-12.153366	74
mara1385	135.512859	135.512859	-15.380854	25
maun1240	133.361102	133.361102	-11.815083	18
muru1266	146.994851	146.994851	-28.863221	144
naka1260	134.42581	134.42581	-12.12184	35
ngad1258	124.06432	124.06432	-31.998006	159
ngan1295	135.150681	135.150681	-14.023335	44
ngar1284	126.020819	126.020819	-16.046993	523
ngar1296	119.448936	119.448936	-20.276244	36
nugu1241	138.253839	138.253839	-32.830927	296
nyam1271	119.768753	119.768753	-21.328174	259
nyan1301	121.876871	121.876871	-20.574666	220
thay1249	141.851149	141.851149	-14.84318	18
tiwi1244	130.812402	130.812402	-11.558449	38
urni1239	133.023963	133.023963	-12.50036	111
wadj1254	130.243534	130.243534	-13.204044	13
wage1238	131.13272	131.13272	-13.930709	76
waja1257	117.2694	117.2694	-26.172012	422
walm1241	125.748475	125.748475	-19.69025	227
wand1263	135.456487	135.456487	-14.454448	12
wany1247	137.479327	137.479327	-18.198094	280
wari1262	116.318018	116.318018	-25.00479	325
warl1254	130.858901	130.858901	-20.58751	382
wemb1241	143.607655	143.607655	-35.566891	82
wikn1245	141.637262	141.637262	-13.71741	6
wong1246	142.447239	142.447239	-27.603503	115
yann1237	135.568849	135.568849	-12.037377	19
yany1243	136.350689	136.350689	-15.725592	22
yayg1236	153.181363	153.181363	-29.656271	55
yind1247	117.589981	117.589981	-22.010657	566
yinh1234	118.871252	118.871252	-23.501607	674
yiry1245	142.050341	142.050341	-15.125675	27
yuwa1242	147.900172	147.900172	-29.574185	140
yuwa1243	148.671974	148.671974	-28.872217	163
pini1245	112	112	-28.5	520
